sourceTool,langName,ruleId,ruleName,ruleLevel,mappingStatus,replacementTool,replacementRuleOrPack,note,officialCategory,deprecated,baselineIncluded,baselineReason
ESLint-缺陷,TypeScript,7163,@typescript-eslint/ban-types,1,none,-,-,当前 ESLint 规则包未启用该规则，建议按需补齐,-,false,false,out-of-scope
ESLint-缺陷,TypeScript,7179,@typescript-eslint/member-delimiter-style,1,none,-,-,当前 ESLint 规则包未启用该规则，建议按需补齐,-,false,false,out-of-scope
ESLint-缺陷,TypeScript,7277,@typescript-eslint/type-annotation-spacing,1,none,-,-,当前 ESLint 规则包未启用该规则，建议按需补齐,-,false,false,out-of-scope
ESLint-缺陷,TypeScript,11131,@typescript-eslint/padding-line-between-statements,1,none,-,-,当前 ESLint 规则包未启用该规则，建议按需补齐,-,false,false,out-of-scope
ESLint-缺陷,TypeScript,11158,@typescript-eslint/no-extra-parens,1,none,-,-,当前 ESLint 规则包未启用该规则，建议按需补齐,-,false,false,out-of-scope
ESLint-缺陷,TypeScript,11162,@typescript-eslint/no-useless-template-literals,1,none,-,-,当前 ESLint 规则包未启用该规则，建议按需补齐,-,false,false,out-of-scope
ESLint-缺陷,Vue,7433,vue/valid-v-bind-sync,1,none,-,-,"deprecated (eslint-plugin-vue), excluded from vue3 baseline",vue2-essential,true,false,deprecated
ESLint-缺陷,Vue,7493,vue/no-v-for-template-key,1,none,-,-,"deprecated (eslint-plugin-vue), excluded from vue3 baseline",vue2-essential,true,false,deprecated
ESLint-缺陷,Vue,7527,vue/no-v-model-argument,1,none,-,-,"deprecated (eslint-plugin-vue), excluded from vue3 baseline",vue2-essential,true,false,deprecated
ESLint-缺陷,Vue,11345,vue/name-property-casing,1,none,-,-,当前 ESLint 规则包未启用该规则，建议按需补齐,-,false,false,out-of-scope
ESLint-缺陷,Vue,11379,vue/no-unregistered-components,1,none,-,-,当前 ESLint 规则包未启用该规则，建议按需补齐,-,false,false,out-of-scope
ESLint-缺陷,Vue,11380,vue/experimental-script-setup-vars,1,none,-,-,当前 ESLint 规则包未启用该规则，建议按需补齐,-,false,false,out-of-scope
ESLint-缺陷,Vue,11405,vue/no-confusing-v-for-v-if,1,none,-,-,当前 ESLint 规则包未启用该规则，建议按需补齐,-,false,false,out-of-scope
ESLint-缺陷,Vue,11439,vue/valid-model-definition,1,none,-,-,"deprecated (eslint-plugin-vue), excluded from vue3 baseline",vue2-essential,true,false,deprecated
