sourceTool,langName,ruleId,ruleName,ruleLevel,mappingStatus,replacementTool,replacementRuleOrPack,note
Sonar,CSS,10732,AtRuleNoUnknown,1,direct,Stylelint,at-rule-no-unknown,Sonar CSS 规则可映射到同名 Stylelint 规则
Sonar,CSS,10748,BlockNoEmpty,1,direct,Stylelint,block-no-empty,Sonar CSS 规则可映射到同名 Stylelint 规则
Sonar,CSS,10742,ColorNoInvalidHex,3,direct,Stylelint,color-no-invalid-hex,Sonar CSS 规则可映射到同名 Stylelint 规则
Sonar,CSS,10749,CommentNoEmpty,1,direct,Stylelint,comment-no-empty,Sonar CSS 规则可映射到同名 Stylelint 规则
Sonar,CSS,10745,DeclarationBlockNoDuplicateProperties,1,direct,Stylelint,declaration-block-no-duplicate-properties,Sonar CSS 规则可映射到同名 Stylelint 规则
Sonar,CSS,10746,DeclarationBlockNoShorthandPropertyOverrides,2,direct,Stylelint,declaration-block-no-shorthand-property-overrides,Sonar CSS 规则可映射到同名 Stylelint 规则
Sonar,CSS,10752,FontFamilyNoDuplicateNames,1,direct,Stylelint,font-family-no-duplicate-names,Sonar CSS 规则可映射到同名 Stylelint 规则
Sonar,CSS,10737,FontFamilyNoMissingGenericFamilyKeyword,1,direct,Stylelint,font-family-no-missing-generic-family-keyword,Sonar CSS 规则可映射到同名 Stylelint 规则
Sonar,CSS,10744,FunctionCalcNoInvalid,2,partial,Stylelint + custom,function-calc-no-invalid,Stylelint 无同名规则，需自定义规则或保留 Sonar
Sonar,CSS,10739,FunctionCalcNoUnspacedOperator,3,direct,Stylelint,function-calc-no-unspaced-operator,Sonar CSS 规则可映射到同名 Stylelint 规则
Sonar,CSS,10741,FunctionLinearGradientNoNonstandardDirection,2,direct,Stylelint,function-linear-gradient-no-nonstandard-direction,Sonar CSS 规则可映射到同名 Stylelint 规则
Sonar,CSS,10734,KeyframeDeclarationNoImportant,1,direct,Stylelint,keyframe-declaration-no-important,Sonar CSS 规则可映射到同名 Stylelint 规则
Sonar,CSS,10747,MediaFeatureNameNoUnknown,1,direct,Stylelint,media-feature-name-no-unknown,Sonar CSS 规则可映射到同名 Stylelint 规则
Sonar,CSS,10753,NoDescendingSpecificity,2,direct,Stylelint,no-descending-specificity,Sonar CSS 规则可映射到同名 Stylelint 规则
Sonar,CSS,10751,NoDuplicateAtImportRules,1,direct,Stylelint,no-duplicate-at-import-rules,Sonar CSS 规则可映射到同名 Stylelint 规则
Sonar,CSS,10754,NoDuplicateSelectors,1,direct,Stylelint,no-duplicate-selectors,Sonar CSS 规则可映射到同名 Stylelint 规则
Sonar,CSS,10755,NoEmptySource,1,direct,Stylelint,no-empty-source,Sonar CSS 规则可映射到同名 Stylelint 规则
Sonar,CSS,10756,NoExtraSemicolons,1,direct,Stylelint,no-extra-semicolons,Sonar CSS 规则可映射到同名 Stylelint 规则
Sonar,CSS,10736,NoInvalidDoubleSlashComments,3,direct,Stylelint,no-invalid-double-slash-comments,Sonar CSS 规则可映射到同名 Stylelint 规则
Sonar,CSS,10733,PropertyNoUnknown,3,direct,Stylelint,property-no-unknown,Sonar CSS 规则可映射到同名 Stylelint 规则
Sonar,CSS,10735,SelectorPseudoClassNoUnknown,1,direct,Stylelint,selector-pseudo-class-no-unknown,Sonar CSS 规则可映射到同名 Stylelint 规则
Sonar,CSS,10743,SelectorPseudoElementNoUnknown,1,direct,Stylelint,selector-pseudo-element-no-unknown,Sonar CSS 规则可映射到同名 Stylelint 规则
Sonar,CSS,10740,SelectorTypeNoUnknown,2,direct,Stylelint,selector-type-no-unknown,Sonar CSS 规则可映射到同名 Stylelint 规则
Sonar,CSS,10750,StringNoNewline,1,direct,Stylelint,string-no-newline,Sonar CSS 规则可映射到同名 Stylelint 规则
Sonar,CSS,10738,UnitNoUnknown,3,direct,Stylelint,unit-no-unknown,Sonar CSS 规则可映射到同名 Stylelint 规则
Sonar,JavaScript,8859,AlertUseCheck,1,partial,ESLint(+plugins),@typescript-eslint / eslint-plugin-sonarjs / eslint-plugin-security (partial),无 1:1 等价规则名，建议保留 SonarScanner 作为补充
Sonar,JavaScript,8675,AlphabeticalSortCheck,2,partial,ESLint(+plugins),@typescript-eslint / eslint-plugin-sonarjs / eslint-plugin-security (partial),无 1:1 等价规则名，建议保留 SonarScanner 作为补充
Sonar,JavaScript,8802,AlwaysUseCurlyBracesCheck,2,partial,ESLint(+plugins),@typescript-eslint / eslint-plugin-sonarjs / eslint-plugin-security (partial),无 1:1 等价规则名，建议保留 SonarScanner 作为补充
Sonar,JavaScript,8774,AnchorPrecedenceCheck,1,partial,ESLint(+plugins),@typescript-eslint / eslint-plugin-sonarjs / eslint-plugin-security (partial),无 1:1 等价规则名，建议保留 SonarScanner 作为补充
Sonar,JavaScript,8881,ArgumentTypesCheck,1,partial,ESLint(+plugins),@typescript-eslint / eslint-plugin-sonarjs / eslint-plugin-security (partial),无 1:1 等价规则名，建议保留 SonarScanner 作为补充
Sonar,JavaScript,8667,ArgumentsCallerCalleeUsageCheck,1,partial,ESLint(+plugins),@typescript-eslint / eslint-plugin-sonarjs / eslint-plugin-security (partial),无 1:1 等价规则名，建议保留 SonarScanner 作为补充
Sonar,JavaScript,8748,ArgumentsUsageCheck,1,partial,ESLint(+plugins),@typescript-eslint / eslint-plugin-sonarjs / eslint-plugin-security (partial),无 1:1 等价规则名，建议保留 SonarScanner 作为补充
Sonar,JavaScript,8868,ArithmeticOperationReturningNanCheck,1,partial,ESLint(+plugins),@typescript-eslint / eslint-plugin-sonarjs / eslint-plugin-security (partial),无 1:1 等价规则名，建议保留 SonarScanner 作为补充
Sonar,JavaScript,8658,ArrayCallbackWithoutReturnCheck,3,partial,ESLint(+plugins),@typescript-eslint / eslint-plugin-sonarjs / eslint-plugin-security (partial),无 1:1 等价规则名，建议保留 SonarScanner 作为补充
Sonar,JavaScript,8660,ArrayConstructorsCheck,1,partial,ESLint(+plugins),@typescript-eslint / eslint-plugin-sonarjs / eslint-plugin-security (partial),无 1:1 等价规则名，建议保留 SonarScanner 作为补充
Sonar,JavaScript,8714,ArrowFunctionConventionCheck,1,partial,ESLint(+plugins),@typescript-eslint / eslint-plugin-sonarjs / eslint-plugin-security (partial),无 1:1 等价规则名，建议保留 SonarScanner 作为补充
Sonar,JavaScript,8739,AssertionsInTestsCheck,3,partial,ESLint(+plugins),@typescript-eslint / eslint-plugin-sonarjs / eslint-plugin-security (partial),无 1:1 等价规则名，建议保留 SonarScanner 作为补充
Sonar,JavaScript,8641,AssociativeArraysCheck,1,partial,ESLint(+plugins),@typescript-eslint / eslint-plugin-sonarjs / eslint-plugin-security (partial),无 1:1 等价规则名，建议保留 SonarScanner 作为补充
Sonar,JavaScript,10460,AwsS3BucketGrantedAccessCheck,3,partial,ESLint(+plugins),@typescript-eslint / eslint-plugin-sonarjs / eslint-plugin-security (partial),无 1:1 等价规则名，建议保留 SonarScanner 作为补充
Sonar,JavaScript,10459,AwsS3BucketInsecureHttpCheck,2,partial,ESLint(+plugins),@typescript-eslint / eslint-plugin-sonarjs / eslint-plugin-security (partial),无 1:1 等价规则名，建议保留 SonarScanner 作为补充
Sonar,JavaScript,10457,AwsS3BucketPublicAccessCheck,2,partial,ESLint(+plugins),@typescript-eslint / eslint-plugin-sonarjs / eslint-plugin-security (partial),无 1:1 等价规则名，建议保留 SonarScanner 作为补充
Sonar,JavaScript,10461,AwsS3BucketServerEncryptionCheck,1,partial,ESLint(+plugins),@typescript-eslint / eslint-plugin-sonarjs / eslint-plugin-security (partial),无 1:1 等价规则名，建议保留 SonarScanner 作为补充
Sonar,JavaScript,10458,AwsS3BucketVersioningCheck,1,partial,ESLint(+plugins),@typescript-eslint / eslint-plugin-sonarjs / eslint-plugin-security (partial),无 1:1 等价规则名，建议保留 SonarScanner 作为补充
Sonar,JavaScript,8649,BitwiseOperatorsCheck,1,partial,ESLint(+plugins),@typescript-eslint / eslint-plugin-sonarjs / eslint-plugin-security (partial),无 1:1 等价规则名，建议保留 SonarScanner 作为补充
Sonar,JavaScript,8734,BooleanEqualityComparisonCheck,1,partial,ESLint(+plugins),@typescript-eslint / eslint-plugin-sonarjs / eslint-plugin-security (partial),无 1:1 等价规则名，建议保留 SonarScanner 作为补充
Sonar,JavaScript,8887,BuiltInObjectOverriddenCheck,1,partial,ESLint(+plugins),@typescript-eslint / eslint-plugin-sonarjs / eslint-plugin-security (partial),无 1:1 等价规则名，建议保留 SonarScanner 作为补充
Sonar,JavaScript,8822,CertificateTransparencyCheck,1,partial,ESLint(+plugins),@typescript-eslint / eslint-plugin-sonarjs / eslint-plugin-security (partial),无 1:1 等价规则名，建议保留 SonarScanner 作为补充
